game_id,opening_eco,opening_name,opening_moves,opening_description,white_rating,black_rating,result,time_control,created_at
sample_1,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1350,1216,draw,rapid,2024-01-01
sample_2,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1242,1235,white,rapid,2024-01-01
sample_3,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1344,1326,draw,rapid,2024-01-01
sample_4,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1235,1267,draw,rapid,2024-01-01
sample_5,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1397,1396,draw,rapid,2024-01-01
sample_6,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1320,1253,black,rapid,2024-01-01
sample_7,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1395,1387,white,rapid,2024-01-01
sample_8,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1248,1331,white,rapid,2024-01-01
sample_9,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1346,1379,white,rapid,2024-01-01
sample_10,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1333,1276,white,rapid,2024-01-01
sample_11,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1247,1216,draw,rapid,2024-01-01
sample_12,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1397,1339,white,rapid,2024-01-01
sample_13,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1295,1376,white,rapid,2024-01-01
sample_14,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1326,1243,white,rapid,2024-01-01
sample_15,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1351,1229,draw,rapid,2024-01-01
sample_16,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1301,1321,black,rapid,2024-01-01
sample_17,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1204,1358,white,rapid,2024-01-01
sample_18,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1328,1278,black,rapid,2024-01-01
sample_19,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1242,1362,white,rapid,2024-01-01
sample_20,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1356,1299,black,rapid,2024-01-01
sample_21,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1215,1329,white,rapid,2024-01-01
sample_22,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1308,1335,draw,rapid,2024-01-01
sample_23,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1293,1302,white,rapid,2024-01-01
sample_24,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1293,1223,white,rapid,2024-01-01
sample_25,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1301,1220,white,rapid,2024-01-01
sample_26,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1371,1296,white,rapid,2024-01-01
